"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","91","Get exercises","LMS service","Mon Oct 06 18:58:49 GMT 2025","passed","Mon Oct 06 18:58:49 GMT 2025","Get entities","Exercises","",""
"","66","Update course","LMS service","Mon Oct 06 18:58:48 GMT 2025","passed","Mon Oct 06 18:58:48 GMT 2025","Update entity","Courses","",""
"","328","Create file","LMS service","Mon Oct 06 18:58:52 GMT 2025","passed","Mon Oct 06 18:58:52 GMT 2025","Create entity","Files","",""
"","11","Get file with incorrect file id","LMS service","Mon Oct 06 18:58:55 GMT 2025","passed","Mon Oct 06 18:58:55 GMT 2025","Validate entity","Files","",""
"","584","Refresh user's tokens","LMS service","Mon Oct 06 18:58:45 GMT 2025","passed","Mon Oct 06 18:58:46 GMT 2025","Login","Authentication","",""
"","547","Create user","LMS service","Mon Oct 06 18:58:55 GMT 2025","passed","Mon Oct 06 18:58:56 GMT 2025","Create entity","Users","",""
"","529","Create user","LMS service","Mon Oct 06 18:58:54 GMT 2025","passed","Mon Oct 06 18:58:55 GMT 2025","Create entity","Users","",""
"","519","Create user","LMS service","Mon Oct 06 18:58:55 GMT 2025","passed","Mon Oct 06 18:58:55 GMT 2025","Create entity","Users","",""
"","282","Get exercise","LMS service","Mon Oct 06 18:58:50 GMT 2025","passed","Mon Oct 06 18:58:51 GMT 2025","Get entity","Exercises","",""
"","15","Get current user","LMS service","Mon Oct 06 18:58:56 GMT 2025","passed","Mon Oct 06 18:58:56 GMT 2025","Get entity","Users","",""
"","308","Delete user","LMS service","Mon Oct 06 18:58:58 GMT 2025","passed","Mon Oct 06 18:58:58 GMT 2025","Delete entity","Users","",""
"","578","Login user with valid credentials","LMS service","Mon Oct 06 18:58:44 GMT 2025","passed","Mon Oct 06 18:58:45 GMT 2025","Login","Authentication","",""
"","259","Create file with empty filename","LMS service","Mon Oct 06 18:58:54 GMT 2025","passed","Mon Oct 06 18:58:54 GMT 2025","Validate entity","Files","",""
"","21","Get files","LMS service","Mon Oct 06 18:58:53 GMT 2025","passed","Mon Oct 06 18:58:53 GMT 2025","Get entities","Files","",""
"","19","Get user","LMS service","Mon Oct 06 18:58:58 GMT 2025","passed","Mon Oct 06 18:58:58 GMT 2025","Get entity","Users","",""
"","24","Delete exercise","LMS service","Mon Oct 06 18:58:52 GMT 2025","passed","Mon Oct 06 18:58:52 GMT 2025","Delete entity","Exercises","",""
"","15","Get file","LMS service","Mon Oct 06 18:58:53 GMT 2025","passed","Mon Oct 06 18:58:53 GMT 2025","Get entity","Files","",""
"","284","Get course","LMS service","Mon Oct 06 18:58:45 GMT 2025","passed","Mon Oct 06 18:58:45 GMT 2025","Get entity","Courses","",""
"","58","Create course","LMS service","Mon Oct 06 18:58:47 GMT 2025","passed","Mon Oct 06 18:58:47 GMT 2025","Create entity","Courses","",""
"","41","Create exercise","LMS service","Mon Oct 06 18:58:49 GMT 2025","passed","Mon Oct 06 18:58:49 GMT 2025","Create entity","Exercises","",""
"","47","Update exercise","LMS service","Mon Oct 06 18:58:50 GMT 2025","passed","Mon Oct 06 18:58:50 GMT 2025","Update entity","Exercises","",""
"","17","Create file with empty directory","LMS service","Mon Oct 06 18:58:54 GMT 2025","passed","Mon Oct 06 18:58:54 GMT 2025","Validate entity","Files","",""
"","392","Get courses","LMS service","Mon Oct 06 18:58:46 GMT 2025","passed","Mon Oct 06 18:58:47 GMT 2025","Get entities","Courses","",""
"","24","Update user","LMS service","Mon Oct 06 18:58:57 GMT 2025","passed","Mon Oct 06 18:58:57 GMT 2025","Update entity","Users","",""
"","30","Delete course","LMS service","Mon Oct 06 18:58:48 GMT 2025","passed","Mon Oct 06 18:58:48 GMT 2025","Delete entity","Courses","",""
