"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","533","Create user","LMS service","Mon Oct 06 18:23:42 GMT 2025","passed","Mon Oct 06 18:23:42 GMT 2025","Create entity","Users","",""
"","20","Get files","LMS service","Mon Oct 06 18:23:41 GMT 2025","passed","Mon Oct 06 18:23:41 GMT 2025","Get entities","Files","",""
"","19","Create file with empty directory","LMS service","Mon Oct 06 18:23:42 GMT 2025","passed","Mon Oct 06 18:23:42 GMT 2025","Validate entity","Files","",""
"","20","Update user","LMS service","Mon Oct 06 18:23:45 GMT 2025","passed","Mon Oct 06 18:23:45 GMT 2025","Update entity","Users","",""
"","19","Get user","LMS service","Mon Oct 06 18:23:45 GMT 2025","passed","Mon Oct 06 18:23:45 GMT 2025","Get entity","Users","",""
"","391","Get courses","LMS service","Mon Oct 06 18:23:34 GMT 2025","passed","Mon Oct 06 18:23:34 GMT 2025","Get entities","Courses","",""
"","332","Create file","LMS service","Mon Oct 06 18:23:39 GMT 2025","passed","Mon Oct 06 18:23:40 GMT 2025","Create entity","Files","",""
"","520","Create user","LMS service","Mon Oct 06 18:23:42 GMT 2025","passed","Mon Oct 06 18:23:43 GMT 2025","Create entity","Users","",""
"","254","Create file with empty filename","LMS service","Mon Oct 06 18:23:42 GMT 2025","passed","Mon Oct 06 18:23:42 GMT 2025","Validate entity","Files","",""
"","293","Get course","LMS service","Mon Oct 06 18:23:32 GMT 2025","passed","Mon Oct 06 18:23:33 GMT 2025","Get entity","Courses","",""
"","13","Get file","LMS service","Mon Oct 06 18:23:41 GMT 2025","passed","Mon Oct 06 18:23:41 GMT 2025","Get entity","Files","",""
"","605","Refresh user's tokens","LMS service","Mon Oct 06 18:23:33 GMT 2025","passed","Mon Oct 06 18:23:33 GMT 2025","Login","Authentication","",""
"","572","Login user with valid credentials","LMS service","Mon Oct 06 18:23:32 GMT 2025","passed","Mon Oct 06 18:23:32 GMT 2025","Login","Authentication","",""
"","98","Get exercises","LMS service","Mon Oct 06 18:23:37 GMT 2025","passed","Mon Oct 06 18:23:37 GMT 2025","Get entities","Exercises","",""
"","287","Get exercise","LMS service","Mon Oct 06 18:23:38 GMT 2025","passed","Mon Oct 06 18:23:38 GMT 2025","Get entity","Exercises","",""
"","60","Create course","LMS service","Mon Oct 06 18:23:34 GMT 2025","passed","Mon Oct 06 18:23:34 GMT 2025","Create entity","Courses","",""
"","304","Delete user","LMS service","Mon Oct 06 18:23:46 GMT 2025","passed","Mon Oct 06 18:23:46 GMT 2025","Delete entity","Users","",""
"","69","Update course","LMS service","Mon Oct 06 18:23:36 GMT 2025","passed","Mon Oct 06 18:23:36 GMT 2025","Update entity","Courses","",""
"","11","Get current user","LMS service","Mon Oct 06 18:23:44 GMT 2025","passed","Mon Oct 06 18:23:44 GMT 2025","Get entity","Users","",""
"","50","Update exercise","LMS service","Mon Oct 06 18:23:38 GMT 2025","passed","Mon Oct 06 18:23:38 GMT 2025","Update entity","Exercises","",""
"","541","Create user","LMS service","Mon Oct 06 18:23:43 GMT 2025","passed","Mon Oct 06 18:23:44 GMT 2025","Create entity","Users","",""
"","28","Delete exercise","LMS service","Mon Oct 06 18:23:39 GMT 2025","passed","Mon Oct 06 18:23:39 GMT 2025","Delete entity","Exercises","",""
"","27","Delete course","LMS service","Mon Oct 06 18:23:36 GMT 2025","passed","Mon Oct 06 18:23:36 GMT 2025","Delete entity","Courses","",""
"","9","Get file with incorrect file id","LMS service","Mon Oct 06 18:23:43 GMT 2025","passed","Mon Oct 06 18:23:43 GMT 2025","Validate entity","Files","",""
"","44","Create exercise","LMS service","Mon Oct 06 18:23:37 GMT 2025","passed","Mon Oct 06 18:23:37 GMT 2025","Create entity","Exercises","",""
